1000 1 200
31.25 28.125 6.25 3.125
62.5 18.75 6.25 3.125
37.5 193.75 6.25 6.25
137.5 118.75 6.25 3.125
106.25 96.875 6.25 3.125
31.25 25 6.25 3.125
56.25 125 6.25 3.125
93.75 131.25 6.25 3.125
100 168.75 3.125 6.25
81.25 118.75 6.25 3.125
100 131.25 3.125 6.25
68.75 12.5 6.25 3.125
131.25 15.625 6.25 3.125
193.75 37.5 6.25 6.25
68.75 131.25 6.25 3.125
118.75 96.875 6.25 3.125
109.375 137.5 3.125 6.25
37.5 181.25 6.25 6.25
25 175 6.25 3.125
112.5 93.75 6.25 3.125
140.625 187.5 3.125 6.25
115.625 112.5 3.125 6.25
140.625 137.5 3.125 6.25
50 162.5 6.25 3.125
125 31.25 6.25 3.125
181.25 150 6.25 6.25
181.25 68.75 6.25 3.125
143.75 56.25 6.25 3.125
137.5 93.75 6.25 3.125
187.5 37.5 6.25 6.25
87.5 112.5 6.25 3.125
168.75 43.75 6.25 6.25
137.5 96.875 6.25 3.125
56.25 56.25 6.25 3.125
87.5 193.75 6.25 6.25
125 87.5 6.25 3.125
131.25 25 6.25 3.125
31.25 68.75 6.25 6.25
56.25 150 6.25 3.125
181.25 159.375 6.25 3.125
68.75 128.125 6.25 3.125
62.5 159.375 6.25 3.125
31.25 31.25 6.25 3.125
162.5 43.75 6.25 6.25
103.125 162.5 3.125 6.25
43.75 137.5 6.25 6.25
125 106.25 6.25 3.125
187.5 112.5 3.125 6.25
43.75 181.25 6.25 6.25
50 87.5 6.25 3.125
112.5 96.875 6.25 3.125
68.75 162.5 6.25 3.125
87.5 115.625 6.25 3.125
131.25 115.625 6.25 3.125
112.5 46.875 6.25 3.125
156.25 187.5 3.125 6.25
140.625 143.75 3.125 6.25
62.5 75 6.25 6.25
131.25 103.125 6.25 3.125
50 21.875 6.25 3.125
193.75 100 3.125 6.25
0 175 6.25 6.25
150 68.75 6.25 3.125
